,AUC Mean,AUC Std,F1 Score,Recall
XGBoost,0.9309492620853617,0.008658797494504985,0.5937320040792156,0.44587806559637544
RandomForest,0.9100936732614485,0.006322826196108758,0.6253440187746395,0.6624741455727371
LogisticRegression,0.7722095405533246,0.019158224321747144,0.4325658429567296,0.6962277159460258
K-Nearest Neighbors (K=5),0.552300214860965,0.013840642663404925,0.09980980228348649,0.06896483797892247
SVM (Kernel RBF),0.5296420189129216,0.01536388427654548,0.22863049204666167,0.4923470895301881
